"No.","Time","Source","Destination","Protocol","Length","Info"
"41","0.000377","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=59200, ID=d4c7) [Reassembled in #45]"
"42","0.000377","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=60680, ID=d4c7) [Reassembled in #45]"
"43","0.000377","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=62160, ID=d4c7) [Reassembled in #45]"
"44","0.000377","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=63640, ID=d4c7) [Reassembled in #45]"
"45","0.000377","192.168.1.104","192.168.1.240","ICMP","422","Echo (ping) request  id=0x0001, seq=9/2304, ttl=128 (reply in 90)"
"46","0.000724","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=0, ID=e2c6) [Reassembled in #90]"
"47","0.000724","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=1480, ID=e2c6) [Reassembled in #90]"
"48","0.000724","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=2960, ID=e2c6) [Reassembled in #90]"
"49","0.000724","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=4440, ID=e2c6) [Reassembled in #90]"
"50","0.000724","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=5920, ID=e2c6) [Reassembled in #90]"
"51","0.000724","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=7400, ID=e2c6) [Reassembled in #90]"
"52","0.000724","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=8880, ID=e2c6) [Reassembled in #90]"
"53","0.000724","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=10360, ID=e2c6) [Reassembled in #90]"
"54","0.000724","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=11840, ID=e2c6) [Reassembled in #90]"
"55","0.000724","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=13320, ID=e2c6) [Reassembled in #90]"
"56","0.000724","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=14800, ID=e2c6) [Reassembled in #90]"
"57","0.000724","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=16280, ID=e2c6) [Reassembled in #90]"
"58","0.000724","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=17760, ID=e2c6) [Reassembled in #90]"
"59","0.000724","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=19240, ID=e2c6) [Reassembled in #90]"
"60","0.000724","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=20720, ID=e2c6) [Reassembled in #90]"
"61","0.000724","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=22200, ID=e2c6) [Reassembled in #90]"
